         12555632 function calls (12460749 primitive calls) in 15.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      104    0.015    0.000    0.254    0.002 weakly_connected.py:23(weakly_connected_components)
    34318    0.015    0.000    0.015    0.000 multigraph.py:343(new_edge_key)
    61436    0.015    0.000    0.020    0.000 base.py:723(__len__)
        1    0.015    0.015    0.963    0.963 core.py:507(truncate_graph_bbox)
   186912    0.015    0.000    0.015    0.000 reportviews.py:792(<lambda>)
    30326    0.015    0.000    0.037    0.000 geo_utils.py:66(<genexpr>)
    14759    0.014    0.000    0.044    0.000 reportviews.py:553(__iter__)
    14756    0.014    0.000    0.037    0.000 managers.py:175(set_axis)
    93459    0.014    0.000    0.090    0.000 reportviews.py:802(<genexpr>)
    94060    0.014    0.000    0.014    0.000 {method 'copy' of 'dict' objects}
    32307    0.014    0.000    0.015    0.000 reportviews.py:1085(__iter__)
        2    0.014    0.007    0.014    0.007 {pandas._libs.lib.dicts_to_array}
        4    0.013    0.003    1.076    0.269 helpers.py:151(make_loop)
        4    0.013    0.003    0.249    0.062 weighted.py:384(single_source_dijkstra)
   191952    0.013    0.000    0.013    0.000 {method 'values' of 'dict' objects}
    32303    0.012    0.000    0.015    0.000 reportviews.py:1082(<genexpr>)
    80710    0.012    0.000    0.012    0.000 {built-in method _heapq.heappush}
       10    0.012    0.001    0.017    0.002 array.py:62(from_shapely)
    91773    0.012    0.000    0.012    0.000 geos.py:545(errcheck_predicate)
    31535    0.012    0.000    0.039    0.000 series.py:467(dtype)
        1    0.012    0.012    0.093    0.093 series.py:1748(to_dict)
    15908    0.012    0.000    0.020    0.000 series.py:460(name)
    93217    0.011    0.000    0.011    0.000 _collections_abc.py:698(__init__)
    29887    0.011    0.000    0.035    0.000 series.py:559(_values)
    29516    0.010    0.000    0.061    0.000 series.py:593(_internal_get_values)
    30419    0.009    0.000    0.018    0.000 base.py:5707(ensure_index)
      126    0.009    0.000    0.009    0.000 {pandas._libs.lib.infer_dtype}
    29516    0.009    0.000    0.017    0.000 blocks.py:232(to_dense)
    29833    0.009    0.000    0.009    0.000 {method 'view' of 'numpy.ndarray' objects}
    29751    0.008    0.000    0.012    0.000 common.py:352(apply_if_callable)
    45363    0.008    0.000    0.009    0.000 reportviews.py:560(<genexpr>)
        2    0.007    0.004    0.025    0.013 {pandas._libs.lib.fast_unique_multiple_list_gen}
    80718    0.007    0.000    0.007    0.000 {built-in method builtins.next}
     2048    0.007    0.000    0.317    0.000 core.py:787(add_path)
        1    0.007    0.007   10.389   10.389 core.py:1096(graph_from_point)
        1    0.006    0.006    0.018    0.018 core.py:415(parse_osm_nodes_paths)
    45363    0.006    0.000    0.008    0.000 reportviews.py:559(<genexpr>)
    63232    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
    16853    0.006    0.000    0.006    0.000 core.py:362(get_node)
    15412    0.006    0.000    0.006    0.000 series.py:443(_set_subtyp)
    31792    0.006    0.000    0.006    0.000 blocks.py:343(dtype)
    15280    0.006    0.000    0.009    0.000 inference.py:386(is_hashable)
        2    0.005    0.003    0.005    0.003 construction.py:567(<listcomp>)
       62    0.005    0.000    0.005    0.000 {method 'decode' of 'bytes' objects}
        1    0.005    0.005   15.032   15.032 loop.py:5(create_route)
      678    0.004    0.000    0.054    0.000 series.py:194(__init__)
    30575    0.004    0.000    0.004    0.000 reportviews.py:785(<lambda>)
    30518    0.004    0.000    0.005    0.000 {pandas._libs.lib.is_scalar}
     3273    0.004    0.000    0.010    0.000 common.py:1886(_is_dtype_type)
     5345    0.004    0.000    0.016    0.000 base.py:231(is_dtype)
     1507    0.004    0.000    0.011    0.000 _dtype.py:333(_name_get)
    15591    0.004    0.000    0.007    0.000 multigraph.py:970(<genexpr>)
    29887    0.004    0.000    0.004    0.000 blocks.py:207(internal_values)
  228/168    0.003    0.000    0.022    0.000 base.py:277(__new__)
      425    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       12    0.003    0.000    0.004    0.000 function_base.py:4218(delete)
    15650    0.003    0.000    0.003    0.000 {built-in method builtins.hash}
     3875    0.003    0.000    0.009    0.000 common.py:1743(is_extension_array_dtype)
       39    0.003    0.000    0.027    0.001 response.py:71(decompress)
        2    0.003    0.002    0.003    0.002 {built-in method _socket.getaddrinfo}
       49    0.003    0.000    0.005    0.000 managers.py:1854(_stack_arrays)
      242    0.003    0.000    0.171    0.001 __init__.py:974(wrapper)
    29771    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
     2048    0.003    0.000    0.006    0.000 core.py:387(get_path)
     3951    0.003    0.000    0.004    0.000 dtypes.py:83(find)
      608    0.003    0.000    0.030    0.000 construction.py:630(sanitize_array)
    29981    0.003    0.000    0.003    0.000 {pandas._libs.lib.is_float}
        7    0.003    0.000    0.003    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      431    0.003    0.000    0.003    0.000 {built-in method numpy.empty}
     1580    0.003    0.000    0.006    0.000 generic.py:5181(__setattr__)
        1    0.003    0.003    0.048    0.048 core.py:443(remove_isolated_nodes)
     2048    0.003    0.000    0.003    0.000 core.py:406(<listcomp>)
    94/22    0.003    0.000    5.705    0.259 {method 'join' of 'bytes' objects}
2039/1940    0.003    0.000    0.004    0.000 {method 'format' of 'str' objects}
      722    0.003    0.000    0.019    0.000 blocks.py:3195(get_block_type)
       23    0.003    0.000    0.184    0.008 construction.py:440(to_arrays)
      604    0.002    0.000    0.008    0.000 cast.py:866(maybe_castable)
    16398    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
      242    0.002    0.000    0.009    0.000 expressions.py:73(_can_use_numexpr)
       22    0.002    0.000    0.221    0.010 utils.py:172(great_circle_vec)
    45335    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      130    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
       14    0.002    0.000    0.110    0.008 geodataframe.py:58(__init__)
        1    0.002    0.002    0.392    0.392 core.py:750(add_edge_lengths)
      674    0.002    0.000    0.021    0.000 managers.py:1470(__init__)
      836    0.002    0.000    0.005    0.000 blocks.py:120(__init__)
 1035/803    0.002    0.000    0.011    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      836    0.002    0.000    0.025    0.000 blocks.py:3241(make_block)
        1    0.002    0.002    0.319    0.319 core.py:829(add_paths)
     1291    0.002    0.000    0.004    0.000 numerictypes.py:365(issubdtype)
       73    0.002    0.000    0.028    0.000 managers.py:1031(set)
      242    0.002    0.000    0.117    0.000 expressions.py:99(_evaluate_numexpr)
       89    0.002    0.000    0.004    0.000 managers.py:216(_rebuild_blknos_and_blklocs)
      975    0.002    0.000    0.003    0.000 common.py:255(is_sparse)
        2    0.002    0.001    0.002    0.001 digraph.py:540(remove_nodes_from)
     2128    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      538    0.002    0.000    0.004    0.000 _ufunc_config.py:39(seterr)
     2582    0.001    0.000    0.002    0.000 numerictypes.py:293(issubclass_)
     1507    0.001    0.000    0.005    0.000 _dtype.py:319(_name_includes_bit_suffix)
     1194    0.001    0.000    0.003    0.000 {pandas._libs.lib.is_list_like}
        1    0.001    0.001    0.001    0.001 {method 'round' of 'numpy.ndarray' objects}
       21    0.001    0.000    0.700    0.033 geo_utils.py:133(get_nearest_node)
     1510    0.001    0.000    0.002    0.000 common.py:2020(pandas_dtype)
      538    0.001    0.000    0.001    0.000 _ufunc_config.py:139(geterr)
     1075    0.001    0.000    0.004    0.000 dtypes.py:1092(is_dtype)
       72    0.001    0.000    5.671    0.079 {method 'read' of '_io.BufferedReader' objects}
     1950    0.001    0.000    0.001    0.000 core.py:825(<listcomp>)
        3    0.001    0.000    0.001    0.000 {method 'factorize' of 'pandas._libs.hashtable.Int64HashTable' objects}
      475    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     2282    0.001    0.000    0.002    0.000 series.py:453(name)
      868    0.001    0.000    0.002    0.000 blocks.py:243(mgr_locs)
       93    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.001    0.001    1.324    0.662 geo_utils.py:84(get_largest_component)
      242    0.001    0.000    0.120    0.000 __init__.py:946(na_op)
       71    0.001    0.000    0.003    0.000 index_tricks.py:318(__getitem__)
      738    0.001    0.000    0.001    0.000 generic.py:162(__init__)
       67    0.001    0.000    0.002    0.000 base.py:1803(is_unique)
      860    0.001    0.000    0.003    0.000 common.py:225(is_object_dtype)
      202    0.001    0.000    0.005    0.000 cast.py:986(maybe_cast_to_datetime)
      872    0.001    0.000    0.010    0.000 arrays.py:7(extract_array)
      366    0.001    0.000    0.002    0.000 base.py:4228(__contains__)
     1680    0.001    0.000    0.007    0.000 common.py:678(is_categorical_dtype)
      242    0.001    0.000    0.006    0.000 base.py:831(array)
      242    0.001    0.000    0.001    0.000 __init__.py:1663(maybe_dispatch_ufunc_to_dunder_op)
      604    0.001    0.000    0.011    0.000 construction.py:759(_try_cast)
     2489    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       87    0.001    0.000    7.155    0.082 socket.py:575(readinto)
      289    0.001    0.000    0.002    0.000 managers.py:167(shape)
      242    0.001    0.000    0.003    0.000 numpy_.py:39(__init__)
       24    0.001    0.000    0.006    0.000 managers.py:992(delete)
      982    0.001    0.000    0.003    0.000 dtypes.py:912(is_dtype)
      242    0.001    0.000    0.030    0.000 __init__.py:913(_construct_result)
       72    0.001    0.000    5.672    0.079 client.py:604(_safe_read)
      696    0.001    0.000    0.001    0.000 generic.py:5162(__getattr__)
       18    0.001    0.000    0.001    0.000 {pyproj._crs.is_proj}
     1731    0.001    0.000    0.006    0.000 common.py:539(is_datetime64tz_dtype)
     2783    0.001    0.000    0.001    0.000 common.py:211(<lambda>)
       60    0.001    0.000    0.219    0.004 frame.py:397(__init__)
